,player,comp_group,rvap_raw,n1,icr_raw,n2,wpa_raw,n3,rvap_w,icr_w,wpa_w,rvap_z,icr_z,wpa_z,icr_z_final_initial,icr_percentile_final_initial,rvap_score_percentile,icr_rank_final,icr_z_final,icr_percentile_final,batter,team_bat
10119,moeen ali,Middle Order,55.84811850747758,5.0,4818.8397486435315,5.0,-8.509999999999987,5.0,55.84811850747758,4818.8397486435315,-8.509999999999987,0.3827655680593137,-0.7864399577914758,-0.06286067041107592,-0.2635197145300838,39.607501519068656,66.66666666666666,10.0,-0.13175985726504194,41.42857142857143,Moeen Ali,Chennai Super Kings
10224,suryakumar yadav,Top Order,41.60909414109506,11.0,5514.734983616897,11.0,-24.07999999999994,11.0,41.60909414109506,5514.734983616897,-24.07999999999994,0.4890626233399994,-0.12101164881489133,-0.9068546518694479,-0.21269030749274673,41.5784263650279,85.18518518518519,16.0,-0.1462245864012634,40.0,Suryakumar Yadav,Mumbai Indians
10433,nitish kumar reddy,Top Order,-2.68408958801378,11.0,4860.097153122946,11.0,28.389999999999976,11.0,-2.68408958801378,4860.097153122946,28.389999999999976,-0.19257749641844804,-0.6573477943513572,0.29057528270361466,-0.24259008806446236,40.41614802328724,44.44444444444444,17.0,-0.1667806855443179,38.57142857142858,Nitish Kumar Reddy,Sunrisers Hyderabad
10654,daryl mitchell,Top Order,1.3030413357695885,13.0,5636.960037101328,13.0,-19.69000000000004,13.0,1.3030413357695885,5636.960037101328,-19.69000000000004,-0.13121843004376763,-0.02087427358198513,-0.8066694524645378,-0.29504394926883654,38.398015329512155,48.148148148148145,18.0,-0.21308729669415974,37.142857142857146,Daryl Mitchell,Chennai Super Kings
10882,m shahrukh khan,Top Order,-42.68233311614449,7.0,4831.994093681686,7.0,26.739999999999974,7.0,-42.68233311614449,4831.994093681686,26.739999999999974,-0.8081215872516564,-0.6803722605163126,0.2529202533145245,-0.4203037689556041,33.713177846708426,22.22222222222222,19.0,-0.24517719855743578,35.714285714285715,M Shahrukh Khan,Gujarat Titans
10959,shikhar dhawan,Openers,56.603675386991064,5.0,4515.9633057238025,5.0,-7.2900000000000045,5.0,56.603675386991064,4515.9633057238025,-7.2900000000000045,0.39259506092047036,-0.7082395084241989,-1.2479900017373966,-0.5984832387616847,27.47587697686721,68.18181818181817,15.0,-0.2992416193808424,34.285714285714285,Shikhar Dhawan,Punjab Kings
11084,rachin ravindra,Openers,-16.857588228551027,10.0,4710.139935117232,10.0,34.99000000000002,10.0,-16.857588228551027,4710.139935117232,34.99000000000002,-0.5209211415024346,-0.5762652033522748,-0.4943860311533724,-0.5365892337279926,29.577569127948433,45.45454545454545,14.0,-0.35772615581866174,32.857142857142854,Rachin Ravindra,Chennai Super Kings
11230,prithvi shaw,Openers,-21.619670309725816,8.0,4731.265447982578,8.0,17.280000000000033,8.0,-21.619670309725816,4731.265447982578,17.280000000000033,-0.580139278032019,-0.561907013654569,-0.8100512704874088,-0.6442777211044796,25.969767993176696,40.909090909090914,17.0,-0.3964785976027567,31.428571428571427,Prithvi Shaw,Delhi Capitals
11355,ayush badoni,Lower Order,-44.06565058855616,12.0,6771.91919788789,12.0,5.61999999999998,12.0,-42.06811524305296,6771.91919788789,5.61999999999998,-1.468744288425085,-0.25519063668742875,-0.2555224135780108,-0.5627281852200173,28.680999431274735,14.285714285714285,5.0,-0.39721989544942404,30.0,Ayush Badoni,Lucknow Super Giants
11535,naman dhir,Top Order,-59.20927586523163,7.0,5063.2296343110675,7.0,-18.050000000000004,7.0,-59.20927586523163,5063.2296343110675,-18.050000000000004,-1.0624593043962762,-0.49092403006708024,-0.7692426353747747,-0.7229194625602209,23.486468276626198,14.814814814814813,20.0,-0.4217030198267956,28.57142857142857,Naman Dhir,Mumbai Indians
11619,jonny bairstow,Openers,60.982641515332865,11.0,4435.167672917494,11.0,-14.289999999999962,11.0,60.982641515332865,4435.167672917494,-14.289999999999962,0.4470490181657008,-0.7631531585672047,-1.3727588710393865,-0.6475783970361524,25.86288367246726,72.72727272727273,18.0,-0.44521014796235475,27.142857142857142,Jonny Bairstow,Punjab Kings
