,player,comp_group,rvap_raw,icr_raw,wpa_raw,n1,n2,n3,rvap_w,icr_w,wpa_w,rvap_z,icr_z,wpa_z,icr_z_final_initial,icr_percentile_final_initial,rvap_score_percentile,icr_rank_final,icr_z_final,icr_percentile_final,bowler,team_bowl
12635,maheesh theekshana,"['Powerplay', 'Middle']",85.64389263278045,35.42658623459606,-29.459999999999994,5.0,5.0,5,85.64389263278045,35.42658623459606,-29.459999999999994,-1.2596744532997333,-1.1918075738758045,-1.21759325279476,-0.977483150337509,16.41650077610389,20.0,5.0,-0.48874157516875455,19.402985074626866,Maheesh Theekshana,Chennai Super Kings
12756,anrich nortje,['Death'],91.61308764438937,30.997711534237304,-33.130000000000024,6.0,6.0,6,91.61308764438937,30.997711534237304,-33.130000000000024,-0.5755789189209591,-1.0775464679732647,1.493876144157761,-0.9234140352442182,17.789574014708297,50.0,4.0,-0.5036803828604826,17.91044776119403,Anrich Nortje,Delhi Capitals
12896,karn sharma,['Middle'],144.19059197762118,43.01847899912764,-54.53000000000003,9.0,9.0,9,144.19059197762118,43.01847899912764,-54.281800000000025,-0.21685011114897557,-0.1997561467161679,-1.0048344621024123,-0.797002857239079,21.272468595786858,44.44444444444444,16.0,-0.5123589796536937,16.417910447761194,Karn Sharma,Royal Challengers Bengaluru
13045,mohammed siraj,"['Powerplay', 'Death']",-13.872233912228694,34.81460141456316,-94.39000000000001,14.0,14.0,14,-13.872233912228694,34.81460141456316,-94.39000000000001,-1.6843383564868701,-1.2616492895670515,-1.0862712439873594,-0.7001759663184096,24.19087094321908,10.0,15.0,-0.5159191330767229,14.925373134328357,Mohammed Siraj,Royal Challengers Bengaluru
13390,nuwan thushara,"['Powerplay', 'Death']",160.30616104985077,40.88221498533795,-12.419999999999973,7.0,7.0,7,160.30616104985077,40.88221498533795,-12.419999999999973,-0.4699080239323736,-0.8111488231887763,0.24813661744786616,-1.085495941391266,13.885103014637362,35.0,17.0,-0.6332059658115718,13.432835820895523,Nuwan Thushara,Mumbai Indians
13557,mohsin khan,"['Powerplay', 'Death']",89.88928927512114,34.476823039509505,-69.62999999999995,10.0,10.0,10,89.88928927512114,34.476823039509505,-69.62999999999995,-0.9608781297566354,-1.2867282293708489,-0.6831976969684957,-0.9916097798325121,16.069395834486123,15.0,16.0,-0.661073186555008,11.940298507462686,Mohsin Khan,Lucknow Super Giants
13794,azmatullah omarzai,['Powerplay'],63.12282385415972,34.27223027364181,-37.09000000000002,7.0,7.0,7,63.12282385415972,34.27223027364181,-37.09000000000002,-0.7391379442545899,-0.9798448026535561,-0.4796602082216519,-1.2779424855598385,10.063485317722915,20.0,10.0,-0.7454664499099058,10.44776119402985,Azmatullah Omarzai,Gujarat Titans
13926,spencer johnson,"['Powerplay', 'Death']",154.47692627154527,42.00632401113042,-26.569999999999965,5.0,5.0,5,154.47692627154527,42.00632401113042,-26.569999999999965,-0.5105514087327503,-0.727687403888986,0.017785620262207744,-1.9166929281242122,2.7638477111962376,30.0,19.0,-0.9583464640621062,8.955223880597014,Spencer Johnson,Gujarat Titans
14025,akash madhwal,"['Powerplay', 'Death']",116.72950362049171,43.93352296777914,-80.33000000000001,5.0,5.0,5,116.72950362049171,43.93352296777914,-80.33000000000001,-0.7737391310284708,-0.5845991833477574,-0.8573853768191361,-1.9917681184574296,2.319825290523023,20.0,20.0,-0.9958840592287148,7.462686567164178,Akash Madhwal,Mumbai Indians
14143,mayank dagar,['Middle'],82.66363381617424,30.36622314197856,-39.71000000000001,5.0,5.0,5,82.66363381617424,30.36622314197856,-39.71000000000001,-0.7046628253341392,-0.9689251017603521,-0.7492277587827302,-2.054242366709898,1.997611988004708,33.33333333333333,18.0,-1.027121183354949,5.970149253731343,Mayank Dagar,Royal Challengers Bengaluru
14215,mohammad nabi,['Middle'],114.32811448100591,30.712012810205408,-30.54999999999999,6.0,6.0,6,114.32811448100591,30.712012810205408,-30.54999999999999,-0.4536129324425723,-0.9479035004919241,-0.5885504641171233,-1.896729679211437,2.8931812250758218,38.88888888888889,17.0,-1.03457982502442,4.477611940298507,Mohammad Nabi,Mumbai Indians
14288,nitish kumar reddy,"['Middle', 'Death']",121.36691118964926,40.93629914054977,-52.04999999999998,7.0,7.0,7,121.36691118964926,40.93629914054977,-52.04999999999998,-0.6319505621035653,-0.8206935901033889,-1.083719424834575,-1.780076848574386,3.753169243066621,36.36363636363637,10.0,-1.038378161668392,2.9850746268656714,Nitish Kumar Reddy,Sunrisers Hyderabad
14373,romario shepherd,"['Middle', 'Death']",14.941266826222375,30.56479363046796,-38.82000000000001,5.0,5.0,5,23.546018739500077,31.392802658019566,-38.82000000000001,-1.1710377039358428,-1.425295411178053,-0.7802505437694753,-2.164019055469915,1.5231443490679175,9.090909090909092,11.0,-1.0820095277349575,1.4925373134328357,Romario Shepherd,Mumbai Indians
14449,shardul thakur,"['Powerplay', 'Death']",-74.20851726738107,26.252285816907033,-87.65,9.0,9.0,9,-62.74462342990212,27.814947889201502,-87.65,-2.0250930882525555,-1.7813506747788819,-0.9765492849038725,-1.884532123482361,2.9746516924703146,5.0,18.0,-1.2114849365243752,0.0,Shardul Thakur,Chennai Super Kings
