,player,comp_group,rvap_raw,n1,icr_raw,n2,wpa_raw,n3,rvap_w,icr_w,wpa_w,rvap_z,icr_z,wpa_z,icr_z_final_initial,icr_percentile_final_initial,rvap_score_percentile,icr_rank_final,icr_z_final,icr_percentile_final,batter,team_bat
9281,jos buttler,Openers,0.5053176854192891,14.0,5614.680339747001,14.0,0.5100000000000016,14.0,0.5053176854192891,5614.680339747001,0.5100000000000016,-0.35354817694193386,-0.023966191011734105,-0.8695199951827252,-0.3724004860876286,35.47973460309501,40.909090909090914,13.0,-0.2744003581698316,39.34426229508197,Jos Buttler,Rajasthan Royals
9579,kyle mayers,Openers,13.785502056852478,12.0,4744.741333779375,12.0,39.99000000000005,12.0,13.785502056852478,4744.741333779375,39.99000000000005,-0.24596656291009186,-0.5841317688790689,-0.2687808364384322,-0.3996532912021953,34.47059497388678,45.45454545454545,14.0,-0.2821082055544908,37.704918032786885,Kyle Mayers,Lucknow Super Giants
9829,ravindra jadeja,Lower Order,42.144069879597396,12.0,4239.625608345961,12.0,28.850000000000016,12.0,42.144069879597396,4259.487913871598,28.850000000000016,0.002542940362877559,-1.1099370381392726,0.24290075648018952,-0.4042196012712964,34.302562051802276,50.0,5.0,-0.2853314832503269,36.0655737704918,Ravindra Jadeja,Chennai Super Kings
9967,sam curran,Middle Order,5.809345048200356,9.0,6051.759768620568,9.0,-22.810000000000016,9.0,5.809345048200356,6051.759768620568,-22.810000000000016,-0.2974829239243534,-0.1409582169273518,-0.9939005574522777,-0.4478664093977357,32.71248060297309,43.75,11.0,-0.28791412032711583,34.42622950819672,Sam Curran,Punjab Kings
10114,hardik pandya,Top Order,-75.94178962533616,14.0,6140.233907366377,14.0,-12.150000000000043,14.0,-75.94178962533616,6140.233907366377,-12.150000000000043,-1.1896861470688844,0.14493438072442982,-0.5930017179998383,-0.42438946391681376,33.56409016688096,16.666666666666664,12.0,-0.312708026043968,32.78688524590164,Hardik Pandya,Gujarat Titans
10357,kl rahul,Openers,81.67500062390971,8.0,5194.01089614721,8.0,-40.600000000000065,8.0,81.67500062390971,5194.01089614721,-38.98510000000005,0.3040003372006658,-0.2948409768860632,-1.470488919917318,-0.5115041994672184,30.449902429417225,63.63636363636363,16.0,-0.3147718150567498,31.147540983606557,Kl Rahul,Lucknow Super Giants
10595,mayank agarwal,Openers,26.083941329519558,10.0,4769.321056762681,10.0,16.519999999999985,10.0,26.083941329519558,4769.321056762681,16.519999999999985,-0.1463379802021448,-0.5683045503794825,-0.6259071803018713,-0.4794551766435722,31.580742426241116,50.0,15.0,-0.3196367844290481,29.508196721311474,Mayank Agarwal,Sunrisers Hyderabad
10814,mahipal lomror,Lower Order,2.5837240681611675,9.0,4636.8717188587025,9.0,36.570000000000014,9.0,4.1727949191461855,4636.8717188587025,36.570000000000014,-1.6845294161351276,-0.5486314187335931,0.4214764733306356,-0.5324251052285235,29.72158005651055,16.666666666666664,6.0,-0.34227328193262224,27.86885245901639,Mahipal Lomror,Royal Challengers Bangalore
10906,nehal wadhera,Top Order,-32.992289855245936,10.0,5439.631767146664,10.0,-20.839999999999986,10.0,-32.992289855245936,5439.631767146664,-20.839999999999986,-0.6179785088548154,-0.362034843150781,-0.7873115374003219,-0.5601272693273258,28.769631572774436,44.44444444444444,13.0,-0.37341817955155054,26.229508196721312,Nehal Wadhera,Mumbai Indians
11077,rilee rossouw,Top Order,-53.26595100303592,9.0,5406.120160665791,9.0,-17.759999999999994,9.0,-53.26595100303592,5406.120160665791,-17.759999999999994,-0.8878444443092482,-0.3862844880677827,-0.7184422343216693,-0.6174224374751718,26.847806311363716,22.22222222222222,14.0,-0.3969144240911819,24.59016393442623,Rilee Rossouw,Delhi Capitals
11225,jitesh sharma,Middle Order,-39.35806819016048,9.0,4944.323391170364,9.0,8.060000000000006,9.0,-39.35806819016048,4944.323391170364,8.060000000000006,-0.8863020842527102,-1.000131351276998,-0.3172834498170127,-0.7573355945067164,22.44244155688171,18.75,12.0,-0.4868585964686034,22.950819672131146,Jitesh Sharma,Punjab Kings
11329,abhishek sharma,Openers,-51.50743611574086,11.0,4526.125200952716,11.0,-1.7600000000000051,11.0,-51.50743611574086,4526.125200952716,-1.7600000000000051,-0.7748989539843282,-0.7249016752011274,-0.9040609751814472,-0.7937042331533719,21.36838176483442,27.27272727272727,19.0,-0.5456716602929432,21.311475409836063,Abhishek Sharma,Sunrisers Hyderabad
11495,rahmanullah gurbaz,Openers,-59.114520012108976,10.0,3690.6839121026414,10.0,37.889999999999986,10.0,-59.114520012108976,3690.6839121026414,37.889999999999986,-0.836523276415222,-1.2628537030244995,-0.30073504700993814,-0.85338614939892,19.672259989900237,22.727272727272727,20.0,-0.5689240995992799,19.672131147540984,Rahmanullah Gurbaz,Kolkata Knight Riders
11657,rohit sharma,Openers,-92.4928646159379,15.0,4308.96209287128,15.0,29.799999999999958,15.0,-92.4928646159379,4308.96209287128,29.799999999999958,-1.1069183316160567,-0.8647359590939352,-0.4238348391639741,-0.787939809221485,21.536595705095845,18.181818181818183,17.0,-0.5909548569161137,18.0327868852459,Rohit Sharma,Mumbai Indians
11912,wriddhiman saha,Openers,-153.26260931214804,16.0,4201.084119730764,16.0,61.56000000000011,16.0,-151.9922828475151,4201.084119730764,61.56000000000011,-1.5889179235101176,-0.9342000557132137,0.059434555003169,-0.788723070863963,21.513694032924292,4.545454545454546,18.0,-0.6009318635154003,16.39344262295082,Wriddhiman Saha,Gujarat Titans
12190,devdutt padikkal,Top Order,-44.91931424046379,11.0,4868.734911544962,11.0,-35.66,11.0,-44.91931424046379,4868.734911544962,-35.66,-0.7767410317874588,-0.7751468209509443,-1.1186891580579963,-0.883193953323071,18.856574402037225,38.88888888888889,15.0,-0.6071958429096114,14.754098360655737,Devdutt Padikkal,Rajasthan Royals
12396,moeen ali,Middle Order,-26.462904039231955,10.0,4860.5247471345665,10.0,-17.67000000000003,10.0,-26.462904039231955,4860.5247471345665,-17.67000000000003,-0.7181959390640066,-1.0651441548262688,-0.8812406308813269,-0.9196275026637473,17.888372474235126,37.5,13.0,-0.6130850017758315,13.114754098360656,Moeen Ali,Chennai Super Kings
12488,ambati rayudu,Middle Order,-81.04961350674866,12.0,4486.963439646471,12.0,24.62000000000001,12.0,-78.19761608662124,4486.963439646471,24.62000000000001,-1.3926288437516117,-1.3549611104199373,0.045683161859047715,-0.9256350642165462,17.731783226411462,6.25,14.0,-0.6533894570940326,11.475409836065573,Ambati Rayudu,Chennai Super Kings
12603,rahul tripathi,Top Order,-83.17308701065461,13.0,4079.0719651575155,13.0,-1.839999999999982,13.0,-83.17308701065461,4079.0719651575155,-1.839999999999982,-1.2859430993387457,-1.346562162227962,-0.36246843399304746,-1.0228559647824205,15.318797625973762,11.11111111111111,16.0,-0.7387293078984147,9.836065573770492,Rahul Tripathi,Sunrisers Hyderabad
12820,manish pandey,Middle Order,15.976419193720043,9.0,4466.400818863868,9.0,-63.39000000000001,9.0,15.976419193720043,4466.400818863868,-57.30300000000001,-0.16494117242381284,-1.3709140371143886,-1.7499275705285062,-1.1841584851958662,11.81751661517127,50.0,15.0,-0.7612447404830569,8.19672131147541,Manish Pandey,Delhi Capitals
12969,aiden markram,Top Order,-49.22133795203082,13.0,4126.616472093634,13.0,-41.030000000000015,13.0,-49.22133795203082,4126.616472093634,-40.117100000000015,-0.8340059552172234,-1.312158039834938,-1.218350642068342,-1.161633193764917,12.269224641251736,33.33333333333333,17.0,-0.8389573066079955,6.557377049180328,Aiden Markram,Sunrisers Hyderabad
13169,mitchell marsh,Openers,-113.79108345773072,9.0,2955.903223655285,9.0,1.9800000000000288,9.0,-113.79108345773072,2999.6295631806775,1.9800000000000288,-1.2794533427964914,-1.7078330131211115,-0.8471520477826714,-1.3296301274994968,9.182008332912828,13.636363636363635,21.0,-0.8547622248211052,4.918032786885246,Mitchell Marsh,Delhi Capitals
13266,dinesh karthik,Middle Order,-62.036297372565855,12.0,4124.4808899483005,12.0,-10.92000000000001,12.0,-62.036297372565855,4175.768879285635,-10.92000000000001,-1.181943895627839,-1.5963925924102438,-0.7332922837307584,-1.2209608258391291,11.105042621023575,12.5,16.0,-0.8618547005923265,3.278688524590164,Dinesh Karthik,Royal Challengers Bangalore
13367,krunal pandya,Top Order,-91.76928795370381,13.0,3394.5179885681123,13.0,-16.559999999999985,13.0,-90.30793379338544,3510.892164588311,-16.559999999999985,-1.3809161822619354,-1.7577080265923037,-0.6916100383169991,-1.328210056369015,9.20543615687071,5.555555555555555,18.0,-0.959262818488733,1.639344262295082,Krunal Pandya,Lucknow Super Giants
13536,harry brook,Openers,-147.21343567103872,11.0,3164.123888061916,11.0,-32.91,11.0,-147.21343567103872,3164.123888061916,-32.91,-1.5502048997991857,-1.6019128762828914,-1.378048431992103,-1.5186693296959057,6.4422875193378,9.090909090909092,22.0,-1.0440851641659352,0.0,Harry Brook,Sunrisers Hyderabad
